category,subcategory,count
Cold Drinks & Juices,Non-Alcoholic Drinks,24
Cold Drinks & Juices,Cold Coffee,24
"Dairy, Bread & Eggs",Jam,24
Paan Corner,Paan Masala,23
Sauces & Spreads,Salad Dressings,23
Beauty & Cosmetics,Facial Kit,23
Vegetables & Fruits,Frozen Potato Snacks,23
Beauty & Cosmetics,Nail accessories,22
"Dairy, Bread & Eggs",Kids Cereals,22
Instant & Frozen Food,Imported Noodles & Pasta,21
Sweet Tooth,Syrups,21
Cold Drinks & Juices,Cold Drink in a Can,21
"Dairy, Bread & Eggs",Flakes,21
Toys & Games,Remote Control Toys,21
Fashion and Accessories,Men's Westernwear,20
Beauty & Cosmetics,Mascara,20
Organic & Gourmet,Snacks & Munchies,20
Home & Office,Soft Toys & Greeting Cards,20
Toys & Games,Card Games,20
"Dairy, Bread & Eggs",Butter & More,20
Fashion and Accessories,Men's Sports Wear,19
Toys & Games,Toddler & Baby Toys,19
Home & Office,Iron,19
Organic & Gourmet,Spices & Vinegar,19
Pharma & Wellness,Antiseptic Liquid,18
Beauty & Cosmetics,Women's Razors & Trimmers,18
Baby Care,Baby's Health & Safety Tools,18
Beauty & Cosmetics,Nail color remover,18
Personal Care,Hand & Foot Care,18
Breakfast & Instant Food,Soup,18
Vegetables & Fruits,Frozen Indian Breads,18
Vegetables & Fruits,Frozen Veg,18
Fashion and Accessories,Belts & Wallets,17
Books,Academic Books,17
Pharma & Wellness,Hangover Cure,17
Organic & Gourmet,Noodles & Pasta,17
Beauty & Cosmetics,Hair Mask,17
Toys & Games,Battle Toys,17
Home & Office,Collectible Toy Guns & Accessories,17
Home & Office,Garbage Bags,17
Vegetables & Fruits,Fresh Juice & Dips,16
Books,Poetry Books,16
Books,Mystery & Thriller Books,16
Toys & Games,"Cards, Puzzles & Board Games: Classic Entertainment for All",16
Home & Office,Weighing Machines & Massagers,16
Toys & Games,Cartoon Characters,16
"Dairy, Bread & Eggs",Batter,16
Books,Activity Books for Adults,15
Fashion and Accessories,Men's Footwear,14
Cleaning Essentials,Dishwashing Bars & Tubs,14
Paan Corner,Ashtrays,14
Paan Corner,Cigar,14
"Tea, Coffee & Health Drinks",Hot Chocolate,14
Organic & Premium,Oil & Ghee,14
Sauces & Spreads,Tomato & Chilli Ketchups,14
Cleaning Essentials,Disinfectant & More,14
Toys & Games,Tents & Pools,14
Pet Care,Pet Litter,14
Dairy & Breakfast,Condensed Milk,13
Organic & Gourmet,Breakfast & More,13
Organic & Gourmet,Baby Food,13
Beauty & Cosmetics,"Lip Scrubs, Masks & Serums",13
Baby Care,Baby Gift Hampers,13
Breakfast & Instant Food,Plant Based Meat,13
Pharma & Wellness,Skin Treatment,13
Toys & Games,Toys Gifting,13
Home & Office,Toasters,13
"Dairy, Bread & Eggs",Vermicelli,13
Fashion and Accessories,Women's Ethnic Wear,12
Fashion and Accessories,Women's Western Wear,12
Beauty & Cosmetics,"Hair Oil, Masks & Serums",12
Books,Literature / Classics Books,12
Beauty & Cosmetics,Shampoo,12
Pet Care,Pet Health & Supplements,12
Cold Drinks & Juices,Iced Tea,12
Home & Office,Kids Toys & More,12
Books,Religion & Spirituality Books,12
Organic & Gourmet,Dairy Products,11
Baby Care,Mom Care,11
Books,"Business, Economics & Finance Books",11
Cleaning Essentials,Dishwashing Bars,11
Organic & Gourmet,"Dry Fruits, Nuts & Seeds",11
Organic & Gourmet,Oil & Ghee,11
Toys & Games,Science Project Kits,11
Cold Drinks & Juices,Imported Beverages,10
Sauces & Spreads,Honey,10
Beauty & Cosmetics,Hair Tools & Accessories,10
Beauty & Cosmetics,Lip Liner,10
"Tea, Coffee & Health Drinks",Hot Chocolate Drink,10
Sweet Tooth,Chocolate Bars,10
Organic & Gourmet,Pulses & Millets,10
Fashion and Accessories,Women's Sports Wear,9
Magazines,Fashion & Luxury Magazines,9
Sauces & Spreads,Imported Spreads,9
Books,Romance Books,9
Dairy & Breakfast,Breakfast Mixes,9
Sauces & Spreads,Chyawanprash,9
Organic & Gourmet,Flour,9
Books,Historical & Mythological Books,9
"Chicken, Meat & Fish",Plant Based Meat,8
Books,Contemporary Books,8
"Dairy, Bread & Eggs",Granola,8
Beauty & Cosmetics,Hair color,8
Fashion and Accessories,Accessories & Gift Sets,7
"Tea, Coffee & Milk Drinks",Imported Tea & Coffee,7
Fashion and Accessories,Women's Footwear,7
Specials,Bill Breaker,7
Toys & Games,Dolls & Play Sets,7
Toys & Games,Art & Craft Games,7
Beauty & Cosmetics,Makeup brushes,7
Pharma & Wellness,Oral Health & Eye Care,7
Toys & Games,Rattles,7
"Tea, Coffee & Health Drinks",Leaf & Dust Tea,7
Home & Office,Choppers,7
Magazines,Sports & Entertainment,6
Toys & Games,Festive Toys,6
Beauty & Cosmetics,"Hair Spray, Gel & Wax",6
Beauty & Cosmetics,After shave,6
Organic & Premium,Baking Essentials,6
"Atta, Rice & Dal",Flours,6
Books,Fantasy Books,6
Organic & Gourmet,Tea & Coffee,6
"Dairy, Bread & Eggs",Cream & Whitener,6
"Dry Fruits, Masala & Oil",Whole Herbs,5
Fashion and Accessories,Sunglasses & Eyewear,5
Paan Corner,Tobacco,5
Beauty & Cosmetics,Conditioners,5
Cold Drinks & Juices,Soda,5
"Dairy, Bread & Eggs",Condensed Milk,5
Beauty & Cosmetics,Blush & Highlighter,5
Fashion and Accessories,Kid's Footwear,4
